# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.09.23. VMicro
# Description:	 	Box 01 Pos 02 - LT020_A3P_30_T15 - whitelight  run2 - GoldRef1
# Date:	 	09/24/2025 10:08:01
# Scanner Center Position (X, Y):	[µm]	50.22	49.81	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer:	800µm	 	 	 
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron A	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	223,827.281	 	 
# Tip Amplitude:	[mV]	33.400	 	 
# Tapping Amplitude:	[nm]	81.337	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.68	 	 
# Regulator (P, I, D):	 	2.092858	2.353200	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	0.790	 	 
# Q-Factor:	 	356.5	 	 
# Version:	 	2.2.13275.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	34.690247	0	1.1434402	-5.6322083E-06	0.9077587	-3.1415913	0.18063688	-2.9859673E-06	0.2511344	-3.1415915	0.03498125	-6.459456E-07	
0	0	1	2.5492221264030612	34.25359	-0.7994835	3.9877121	-2.322453	4.35357	0.7726216	2.3744376	-2.482021	1.3320245	0.7640254	0.14603755	-2.3163066	
0	0	2	5.0984442528061225	32.34581	-1.6501393	7.259261	2.7822702	7.8762608	-0.33803934	4.3600345	2.7724078	2.4143386	-0.32458094	0.2631614	2.866289	
0	0	3	7.647666379209183	27.882166	-2.5963712	9.683699	1.6882201	10.189871	-1.3981985	5.665547	1.7539552	3.117788	-1.3663675	0.34045827	1.8336073	
0	0	4	10.196888505612245	20.769907	2.5669806	10.893674	0.60298777	10.986224	-2.4712517	6.122935	0.7156774	3.3436913	-2.4180083	0.36615115	0.8053692	
0	0	5	12.746110632015307	14.196324	1.0353277	10.735389	-0.5039024	10.319287	2.6913445	5.7426734	-0.36681682	3.0987053	2.7729578	0.33882162	-0.24235371	
0	0	6	15.295332758418366	16.565847	-0.831795	9.345605	-1.6726319	8.648705	1.4715304	4.735613	-1.537785	2.5050132	1.589365	0.2671322	-1.3424635	
0	0	7	17.844554884821427	25.603247	-2.2729278	7.313461	-2.985956	6.9253774	0.069160484	3.5567822	-2.8911152	1.8353623	0.2014728	0.17062353	-2.5937235	
0	0	8	20.39377701122449	33.73455	2.7773988	5.9761395	1.7231518	6.4508495	-1.5139304	2.9731383	1.7679327	1.5730965	-1.4837087	0.0970867	1.8847592	
0	0	9	22.942999137627552	38.32421	1.5680315	6.7116027	0.076280914	7.478048	-3.027602	3.4292634	0.14502732	1.9302163	-3.096128	0.13459967	-0.16446966	
0	0	10	25.492221264030615	39.521976	0.3100113	8.614037	-1.3368596	8.853455	1.9056895	4.2785015	-1.2570995	2.444239	1.8281475	0.21138892	-1.5557207	
0	0	11	28.041443390433674	39.381683	-1.0261527	10.171495	-2.5997279	9.715652	0.6333551	4.9317904	-2.5472372	2.7824926	0.575186	0.26650143	-2.765198	
0	0	12	30.590665516836733	40.34434	-2.4184096	10.738314	2.4582875	9.845586	-0.63362485	5.224374	2.4661052	2.8622139	-0.6669074	0.28805766	2.3312683	
0	0	13	33.139887643239796	42.94534	2.4742227	10.320526	1.2028891	9.441007	-1.9396417	5.2167926	1.1709011	2.7390049	-1.951226	0.27873614	1.1075965	
0	0	14	35.689109769642855	45.645096	1.109286	9.40928	-0.13321927	8.926686	2.9767556	5.0757337	-0.17140095	2.5557654	2.9734743	0.25159854	-0.20058158	
0	0	15	38.23833189604592	47.12184	-0.25463644	8.7934675	-1.5666612	8.720301	1.5623826	4.995804	-1.560643	2.478186	1.5489812	0.2287398	-1.6251103	
0	0	16	40.78755402244898	47.852066	-1.6508005	9.024408	-3.0316179	8.958513	0.14574943	5.1179156	-2.970459	2.5795348	0.11991778	0.23112601	-3.1127522	
0	0	17	43.33677614885204	49.75155	-3.0819607	9.869616	1.8447034	9.4429	-1.2376347	5.451164	1.9216872	2.7854254	-1.2595149	0.25767815	1.742104	
0	0	18	45.885998275255105	54.15033	1.7741531	10.682605	0.50753313	9.869133	-2.586142	5.8645263	0.5727338	2.9676397	-2.5879292	0.2880029	0.41014907	
0	0	19	48.435220401658164	60.181747	0.38864997	11.007696	-0.79525346	10.02867	2.3659356	6.16577	-0.73774046	3.0391169	2.39244	0.30366135	-0.86405873	
0	0	20	50.98444252806123	65.63867	-0.95615613	10.724344	-2.1018984	9.863136	1.0309954	6.200571	-2.0308888	2.9747121	1.0878028	0.29620403	-2.129284	
0	0	21	53.53366465446429	68.72579	-2.286298	9.994373	2.8373096	9.455096	-0.32747075	5.9275417	2.9471054	2.800832	-0.24319038	0.26782307	2.847022	
0	0	22	56.08288678086735	69.11212	2.649109	9.196426	1.4305619	9.002857	-1.7233443	5.4560657	1.598492	2.5840418	-1.6220028	0.23259717	1.439233	
0	0	23	58.63210890727041	68.37444	1.2566599	8.796944	-0.035780948	8.756036	3.1283333	5.0173182	0.1877737	2.4197528	-3.0584335	0.21587712	-0.0932282	
0	0	24	61.181331033673466	69.59924	-0.18078986	9.051008	-1.5104743	8.880991	1.6861215	4.8188224	-1.26512	2.3976796	1.7536911	0.2351395	-1.631265	
0	0	25	63.73055316007653	75.08888	-1.6185973	9.765759	-2.9372392	9.336201	0.2662845	4.8585005	-2.7112799	2.5344117	0.30255392	0.27606764	-3.0472577	
0	0	26	66.27977528647959	83.702324	-3.0070639	10.502233	1.9763107	9.906332	-1.1159091	4.966378	2.153106	2.748942	-1.0915313	0.31259802	1.9235655	
0	0	27	68.82899741288266	91.67309	1.9414319	10.911122	0.6399837	10.352194	-2.467001	5.0355043	0.7433015	2.9244924	-2.4337294	0.32910383	0.65395224	
0	0	28	71.37821953928571	95.682396	0.6301588	10.874412	-0.69304174	10.524574	2.479539	5.122629	-0.67564166	2.977875	2.5312283	0.32313633	-0.621958	
0	0	29	73.92744166568878	95.02201	-0.6969903	10.507419	-2.0480082	10.402177	1.1395892	5.3326273	-2.0924377	2.8938732	1.2039827	0.30312654	-1.9389426	
0	0	30	76.47666379209184	92.198555	-2.0710511	10.084615	2.8453665	10.080165	-0.21794038	5.6374416	2.8026264	2.732365	-0.16128796	0.28296417	2.974626	
0	0	31	79.0258859184949	91.42286	2.7913945	9.879647	1.4295106	9.723273	-1.5998641	5.8713436	1.4474231	2.6016393	-1.5744325	0.271924	1.5773063	
0	0	32	81.57510804489796	94.88396	1.3633366	9.976355	0.01449152	9.490255	-3.0018864	5.904846	0.10037678	2.5837219	-3.0093286	0.2672191	0.18939424	
0	0	33	84.12433017130101	100.88445	-0.038650405	10.229853	-1.3786067	9.458744	1.873237	5.792136	-1.2714032	2.6630154	1.8588164	0.26018432	-1.1854079	
0	0	34	86.67355229770408	106.91184	-1.4192739	10.4277115	-2.7495713	9.599104	0.4744828	5.761237	-2.6780279	2.7569938	0.47725075	0.24838342	-2.5760286	
0	0	35	89.22277442410716	112.82351	-2.7948036	10.45384	2.171792	9.8107195	-0.90664065	5.9941525	2.1995742	2.805302	-0.8866332	0.23939253	2.278107	
0	0	36	91.77199655051021	119.987816	2.1211147	10.326924	0.8059441	9.976765	-2.270555	6.3859644	0.84175843	2.8086746	-2.2526746	0.24242917	0.83473474	
0	0	37	94.32121867691328	127.88248	0.7804864	10.138899	-0.5701337	10.006161	2.6588929	6.6316185	-0.46383396	2.8044407	2.6556618	0.25580853	-0.57157177	
0	0	38	96.87044080331633	132.94221	-0.52935046	9.972183	-1.9555699	9.868634	1.3040845	6.500267	-1.7496471	2.8175604	1.2796539	0.26834518	-1.9278373	
0	0	39	99.4196629297194	131.48862	-1.8319833	9.869532	2.9361691	9.625395	-0.06364093	6.0002	-3.0619476	2.837293	-0.088676736	0.27178606	3.0206637	
0	0	40	101.96888505612246	123.72684	3.1128497	9.863119	1.5420588	9.422183	-1.4493645	5.4027314	1.8397031	2.8397427	-1.450505	0.26737937	1.6736774	
0	0	41	104.51810718252551	115.671745	1.7011325	9.988436	0.15160291	9.402232	-2.8433204	5.096853	0.39074945	2.8210256	-2.8136704	0.26304743	0.30288836	
0	0	42	107.06732930892858	115.515	0.23966196	10.234063	-1.2244627	9.574424	2.0581834	5.223569	-1.0502651	2.800424	2.1012697	0.26447588	-1.0711612	
0	0	43	109.61655143533163	123.91457	-1.1846014	10.490155	-2.5778427	9.782596	0.70157444	5.518253	-2.4238353	2.793867	0.7331752	0.26882583	-2.4220123	
0	0	44	112.1657735617347	132.553	-2.5386777	10.588473	2.3721197	9.831769	-0.63576156	5.658073	2.538088	2.7922473	-0.6274312	0.26898035	2.5339143	
0	0	45	114.71499568813776	134.12877	2.41782	10.414512	1.0453634	9.641934	-1.9721093	5.5367208	1.2274513	2.7719302	-1.9807105	0.26178995	1.2089796	
0	0	46	117.26421781454081	128.9412	1.0569532	9.995546	-0.29318228	9.304553	2.9578388	5.2499113	-0.10230581	2.722228	2.9486246	0.25059748	-0.13303538	
0	0	47	119.81343994094388	124.86423	-0.3717444	9.495497	-1.65664	9.007379	1.5831177	4.9405837	-1.4551058	2.656434	1.5864756	0.24073312	-1.4910922	
0	0	48	122.36266206734693	129.88976	-1.8229727	9.106469	-3.0436914	8.870142	0.20007405	4.6429873	-2.8175197	2.5969145	0.2152547	0.23300482	-2.8476536	
0	0	49	124.91188419375001	141.85732	3.064842	8.911645	1.8438252	8.844379	-1.1747228	4.2893934	2.0918972	2.5543244	-1.160153	0.22328578	2.0866413	
0	0	50	127.46110632015306	151.455	1.7318262	8.860461	0.45347616	8.8014	-2.5394294	3.8899574	0.67074376	2.526439	-2.535963	0.20910968	0.7252633	
0	0	51	130.01032844655612	152.73407	0.41409078	8.875087	-0.9282257	8.693471	2.378001	3.6794581	-0.8304603	2.5129302	2.3720844	0.19494285	-0.67636293	
0	0	52	132.55955057295918	147.45262	-0.9382823	8.92749	-2.3019276	8.597314	1.0033052	3.9428453	-2.34347	2.517994	1.0014894	0.18909432	-2.1114364	
0	0	53	135.10877269936225	143.09108	-2.345103	8.996788	2.618585	8.602176	-0.37364846	4.5773907	2.530849	2.5321658	-0.35667315	0.19307429	2.7554688	
0	0	54	137.65799482576531	145.67473	2.511222	9.002686	1.2692194	8.677281	-1.7395065	5.1803446	1.2314682	2.5221732	-1.6997885	0.19812591	1.3876013	
0	0	55	140.20721695216835	153.3921	1.11363	8.840938	-0.07475574	8.6924515	-3.0923998	5.436743	-0.01450569	2.4538188	-3.0396662	0.19560164	0.039427534	
0	0	56	142.75643907857142	160.3158	-0.2505939	8.502636	-1.4321166	8.569768	1.8372102	5.2568955	-1.2630163	2.3320692	1.8827888	0.18651798	-1.3424952	
0	0	57	145.3056612049745	163.86237	-1.6082425	8.14696	-2.8198926	8.384759	0.4673181	4.7781672	-2.5634546	2.2201695	0.48159516	0.18204585	-2.7841423	
